;x;y
12;[35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26];17
13;[35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17];29
14;[11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29];11
15;[15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11];39
16;[38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39];17
17;[29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17];41
18;[41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41];21
19;[17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21];11
20;[39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11];54
21;[55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54];29
22;[37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29];48
23;[39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48];17
24;[17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17];53
25;[39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53];11
26;[21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11];21
27;[54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21];17
28;[39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17];15
29;[55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15];54
30;[17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54];15
31;[38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15];35
32;[15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35];26
33;[17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26];25
34;[37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25];39
35;[17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39];38
36;[24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38];29
37;[11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29];41
38;[30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41];17
39;[37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17];39
40;[29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39];55
41;[5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55];37
42;[5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37];39
43;[24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39];17
44;[55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17];37
45;[37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37];6
46;[39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6];6
47;[17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6];17
48;[39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17];35
49;[55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35];55
50;[26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55];38
51;[29, 28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38];6
52;[28, 17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6];11
53;[17, 38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11];15
54;[38, 15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15];11
55;[15, 17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11];35
56;[17, 39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35];55
57;[39, 55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55];26
58;[55, 26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26];21
59;[26, 21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21];15
60;[21, 26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15];47
61;[26, 17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47];17
62;[17, 29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17];38
63;[29, 11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38];29
64;[11, 39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29];17
65;[39, 17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17];15
66;[17, 41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15];11
67;[41, 21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11];17
68;[21, 11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17];53
69;[11, 54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53];37
70;[54, 29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37];21
71;[29, 48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21];17
72;[48, 17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17];37
73;[17, 53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37];15
74;[53, 11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15];17
75;[11, 21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17];39
76;[21, 17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39];55
77;[17, 15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55];26
78;[15, 54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26];27
79;[54, 15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27];17
80;[15, 35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17];55
81;[35, 26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55];37
82;[26, 25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37];1
83;[25, 39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37, 1];26
84;[39, 38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37, 1, 26];17
85;[38, 29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37, 1, 26, 17];44
86;[29, 41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37, 1, 26, 17, 44];26
87;[41, 17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37, 1, 26, 17, 44, 26];26
88;[17, 39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37, 1, 26, 17, 44, 26, 26];29
89;[39, 55, 37, 39, 17, 37, 6, 6, 17, 35, 55, 38, 6, 11, 15, 11, 35, 55, 26, 21, 15, 47, 17, 38, 29, 17, 15, 11, 17, 53, 37, 21, 17, 37, 15, 17, 39, 55, 26, 27, 17, 55, 37, 1, 26, 17, 44, 26, 26, 29];17
