;x;y
444;a stands with sad and discouraged mien--if, indeed;,
445; stands with sad and discouraged mien--if, indeed,; 
446;stands with sad and discouraged mien--if, indeed, ;i
447;tands with sad and discouraged mien--if, indeed, i;t
448;ands with sad and discouraged mien--if, indeed, it; 
449;nds with sad and discouraged mien--if, indeed, it ;s
450;ds with sad and discouraged mien--if, indeed, it s;t
451;s with sad and discouraged mien--if, indeed, it st;a
452; with sad and discouraged mien--if, indeed, it sta;n
453;with sad and discouraged mien--if, indeed, it stan;d
454;ith sad and discouraged mien--if, indeed, it stand;s
455;th sad and discouraged mien--if, indeed, it stands; 
456;h sad and discouraged mien--if, indeed, it stands ;a
457; sad and discouraged mien--if, indeed, it stands a;t
458;sad and discouraged mien--if, indeed, it stands at; 
459;ad and discouraged mien--if, indeed, it stands at ;a
460;d and discouraged mien--if, indeed, it stands at a;l
461; and discouraged mien--if, indeed, it stands at al;l
462;and discouraged mien--if, indeed, it stands at all;!
463;nd discouraged mien--if, indeed, it stands at all!; 
464;d discouraged mien--if, indeed, it stands at all! ;f
465; discouraged mien--if, indeed, it stands at all! f;o
466;discouraged mien--if, indeed, it stands at all! fo;r
467;iscouraged mien--if, indeed, it stands at all! for; 
468;scouraged mien--if, indeed, it stands at all! for ;t
469;couraged mien--if, indeed, it stands at all! for t;h
470;ouraged mien--if, indeed, it stands at all! for th;e
471;uraged mien--if, indeed, it stands at all! for the;r
472;raged mien--if, indeed, it stands at all! for ther;e
473;aged mien--if, indeed, it stands at all! for there; 
474;ged mien--if, indeed, it stands at all! for there ;a
475;ed mien--if, indeed, it stands at all! for there a;r
476;d mien--if, indeed, it stands at all! for there ar;e
477; mien--if, indeed, it stands at all! for there are; 
478;mien--if, indeed, it stands at all! for there are ;s
479;ien--if, indeed, it stands at all! for there are s;c
480;en--if, indeed, it stands at all! for there are sc;o
481;n--if, indeed, it stands at all! for there are sco;f
482;--if, indeed, it stands at all! for there are scof;f
483;-if, indeed, it stands at all! for there are scoff;e
484;if, indeed, it stands at all! for there are scoffe;r
485;f, indeed, it stands at all! for there are scoffer;s
486;, indeed, it stands at all! for there are scoffers; 
487; indeed, it stands at all! for there are scoffers ;w
488;indeed, it stands at all! for there are scoffers w;h
489;ndeed, it stands at all! for there are scoffers wh;o
490;deed, it stands at all! for there are scoffers who; 
491;eed, it stands at all! for there are scoffers who ;m
492;ed, it stands at all! for there are scoffers who m;a
493;d, it stands at all! for there are scoffers who ma;i
494;, it stands at all! for there are scoffers who mai;n
495; it stands at all! for there are scoffers who main;t
496;it stands at all! for there are scoffers who maint;a
497;t stands at all! for there are scoffers who mainta;i
498; stands at all! for there are scoffers who maintai;n
499;stands at all! for there are scoffers who maintain; 
500;tands at all! for there are scoffers who maintain ;t
501;ands at all! for there are scoffers who maintain t;h
502;nds at all! for there are scoffers who maintain th;a
503;ds at all! for there are scoffers who maintain tha;t
504;s at all! for there are scoffers who maintain that; 
505; at all! for there are scoffers who maintain that ;i
506;at all! for there are scoffers who maintain that i;t
507;t all! for there are scoffers who maintain that it; 
508; all! for there are scoffers who maintain that it ;h
509;all! for there are scoffers who maintain that it h;a
510;ll! for there are scoffers who maintain that it ha;s
511;l! for there are scoffers who maintain that it has; 
512;! for there are scoffers who maintain that it has ;f
513; for there are scoffers who maintain that it has f;a
514;for there are scoffers who maintain that it has fa;l
515;or there are scoffers who maintain that it has fal;l
516;r there are scoffers who maintain that it has fall;e
517; there are scoffers who maintain that it has falle;n
518;there are scoffers who maintain that it has fallen;,
519;here are scoffers who maintain that it has fallen,; 
520;ere are scoffers who maintain that it has fallen, ;t
521;re are scoffers who maintain that it has fallen, t;h
522;e are scoffers who maintain that it has fallen, th;a
523; are scoffers who maintain that it has fallen, tha;t
524;are scoffers who maintain that it has fallen, that; 
525;re scoffers who maintain that it has fallen, that ;a
526;e scoffers who maintain that it has fallen, that a;l
527; scoffers who maintain that it has fallen, that al;l
528;scoffers who maintain that it has fallen, that all; 
529;coffers who maintain that it has fallen, that all ;d
530;offers who maintain that it has fallen, that all d;o
531;ffers who maintain that it has fallen, that all do;g
532;fers who maintain that it has fallen, that all dog;m
533;ers who maintain that it has fallen, that all dogm;a
534;rs who maintain that it has fallen, that all dogma; 
535;s who maintain that it has fallen, that all dogma ;l
536; who maintain that it has fallen, that all dogma l;i
537;who maintain that it has fallen, that all dogma li;e
538;ho maintain that it has fallen, that all dogma lie;s
539;o maintain that it has fallen, that all dogma lies; 
540; maintain that it has fallen, that all dogma lies ;o
541;maintain that it has fallen, that all dogma lies o;n
542;aintain that it has fallen, that all dogma lies on; 
543;intain that it has fallen, that all dogma lies on ;t
544;ntain that it has fallen, that all dogma lies on t;h
545;tain that it has fallen, that all dogma lies on th;e
546;ain that it has fallen, that all dogma lies on the; 
547;in that it has fallen, that all dogma lies on the ;g
548;n that it has fallen, that all dogma lies on the g;r
549; that it has fallen, that all dogma lies on the gr;o
550;that it has fallen, that all dogma lies on the gro;u
551;hat it has fallen, that all dogma lies on the grou;n
552;at it has fallen, that all dogma lies on the groun;d
553;t it has fallen, that all dogma lies on the ground;-
554; it has fallen, that all dogma lies on the ground-;-
555;it has fallen, that all dogma lies on the ground--;n
556;t has fallen, that all dogma lies on the ground--n;a
557; has fallen, that all dogma lies on the ground--na;y
558;has fallen, that all dogma lies on the ground--nay; 
559;as fallen, that all dogma lies on the ground--nay ;m
560;s fallen, that all dogma lies on the ground--nay m;o
561; fallen, that all dogma lies on the ground--nay mo;r
562;fallen, that all dogma lies on the ground--nay mor;e
563;allen, that all dogma lies on the ground--nay more;,
564;llen, that all dogma lies on the ground--nay more,; 
565;len, that all dogma lies on the ground--nay more, ;t
566;en, that all dogma lies on the ground--nay more, t;h
567;n, that all dogma lies on the ground--nay more, th;a
568;, that all dogma lies on the ground--nay more, tha;t
569; that all dogma lies on the ground--nay more, that; 
570;that all dogma lies on the ground--nay more, that ;i
571;hat all dogma lies on the ground--nay more, that i;t
572;at all dogma lies on the ground--nay more, that it; 
573;t all dogma lies on the ground--nay more, that it ;i
574; all dogma lies on the ground--nay more, that it i;s
575;all dogma lies on the ground--nay more, that it is; 
576;ll dogma lies on the ground--nay more, that it is ;a
577;l dogma lies on the ground--nay more, that it is a;t
578; dogma lies on the ground--nay more, that it is at; 
579;dogma lies on the ground--nay more, that it is at ;i
580;ogma lies on the ground--nay more, that it is at i;t
581;gma lies on the ground--nay more, that it is at it;s
582;ma lies on the ground--nay more, that it is at its; 
583;a lies on the ground--nay more, that it is at its ;l
584; lies on the ground--nay more, that it is at its l;a
585;lies on the ground--nay more, that it is at its la;s
586;ies on the ground--nay more, that it is at its las;t
587;es on the ground--nay more, that it is at its last; 
588;s on the ground--nay more, that it is at its last ;g
589; on the ground--nay more, that it is at its last g;a
590;on the ground--nay more, that it is at its last ga;s
591;n the ground--nay more, that it is at its last gas;p
592; the ground--nay more, that it is at its last gasp;.
593;the ground--nay more, that it is at its last gasp.; 
594;he ground--nay more, that it is at its last gasp. ;b
595;e ground--nay more, that it is at its last gasp. b;u
596; ground--nay more, that it is at its last gasp. bu;t
597;ground--nay more, that it is at its last gasp. but; 
598;round--nay more, that it is at its last gasp. but ;t
599;ound--nay more, that it is at its last gasp. but t;o
600;und--nay more, that it is at its last gasp. but to; 
601;nd--nay more, that it is at its last gasp. but to ;s
602;d--nay more, that it is at its last gasp. but to s;p
603;--nay more, that it is at its last gasp. but to sp;e
604;-nay more, that it is at its last gasp. but to spe;a
605;nay more, that it is at its last gasp. but to spea;k
606;ay more, that it is at its last gasp. but to speak; 
607;y more, that it is at its last gasp. but to speak ;s
608; more, that it is at its last gasp. but to speak s;e
609;more, that it is at its last gasp. but to speak se;r
610;ore, that it is at its last gasp. but to speak ser;i
611;re, that it is at its last gasp. but to speak seri;o
612;e, that it is at its last gasp. but to speak serio;u
613;, that it is at its last gasp. but to speak seriou;s
614; that it is at its last gasp. but to speak serious;l
615;that it is at its last gasp. but to speak seriousl;y
616;hat it is at its last gasp. but to speak seriously;,
617;at it is at its last gasp. but to speak seriously,; 
618;t it is at its last gasp. but to speak seriously, ;t
619; it is at its last gasp. but to speak seriously, t;h
620;it is at its last gasp. but to speak seriously, th;e
621;t is at its last gasp. but to speak seriously, the;r
622; is at its last gasp. but to speak seriously, ther;e
623;is at its last gasp. but to speak seriously, there; 
624;s at its last gasp. but to speak seriously, there ;a
625; at its last gasp. but to speak seriously, there a;r
626;at its last gasp. but to speak seriously, there ar;e
627;t its last gasp. but to speak seriously, there are; 
628; its last gasp. but to speak seriously, there are ;g
629;its last gasp. but to speak seriously, there are g;o
630;ts last gasp. but to speak seriously, there are go;o
631;s last gasp. but to speak seriously, there are goo;d
632; last gasp. but to speak seriously, there are good; 
633;last gasp. but to speak seriously, there are good ;g
634;ast gasp. but to speak seriously, there are good g;r
635;st gasp. but to speak seriously, there are good gr;o
636;t gasp. but to speak seriously, there are good gro;u
637; gasp. but to speak seriously, there are good grou;n
638;gasp. but to speak seriously, there are good groun;d
639;asp. but to speak seriously, there are good ground;s
640;sp. but to speak seriously, there are good grounds; 
641;p. but to speak seriously, there are good grounds ;f
